ID,SMILES,Status
rad_0349,C=C[C]=C1CC1,Pending
rad_0350,C=[C]C=C1CC1,Pending
rad_0351,[CH]=CC=C1CC1,Pending
rad_0352,C=C1CC1[CH]C,Pending
rad_0353,C=C1C[C]1CC,Pending
rad_0354,[CH2]CC1CC1=C,Pending
rad_0355,[CH]=C1CC1CC,Pending
rad_0356,C=C1[CH]C1CC,Pending
rad_0357,[CH]=C1CCCC1,Pending
rad_0358,C=C1[CH]CCC1,Pending
rad_0359,C=C1C[CH]CC1,Pending
rad_0360,CC=C1[C]=CC1,Pending
rad_0361,C[C]=C1C=CC1,Pending
rad_0362,CC=C1[CH]C=C1,Pending
rad_0363,CC=C1C=[C]C1,Pending
rad_0364,[CH2]C=C1C=CC1,Pending
rad_0365,C[C]=CC1C=C1,Pending
rad_0366,CC=[C]C1C=C1,Pending
rad_0367,[CH2]C=CC1C=C1,Pending
rad_0368,CC=C[C]1C=C1,Pending
rad_0369,CC=CC1[C]=C1,Pending
rad_0370,[CH2]CC1=CC=C1,Pending
rad_0371,C[CH]C1=CC=C1,Pending
rad_0372,CCC1=CC=[C]1,Pending
rad_0373,CCC1=C[C]=C1,Pending
rad_0374,CCC1=[C]C=C1,Pending
rad_0375,CC[C]=C1CC1,Pending
rad_0376,C[CH]C=C1CC1,Pending
rad_0377,[CH2]CC=C1CC1,Pending
rad_0378,CCC=C1[CH]C1,Pending
rad_0379,CC=C1[CH]CC1,Pending
rad_0380,C[C]=C1CCC1,Pending
rad_0381,CC=C1C[CH]C1,Pending
rad_0382,[CH2]C=C1CCC1,Pending
rad_0383,CCC[C]1C=C1,Pending
rad_0384,CCCC1[C]=C1,Pending
rad_0385,CC[CH]C1C=C1,Pending
rad_0386,C[CH]CC1C=C1,Pending
rad_0387,[CH2]CCC1C=C1,Pending
rad_0388,[CH]=C1C=C1CC,Pending
rad_0389,C=C1[C]=C1CC,Pending
rad_0390,C=C1C=C1[CH]C,Pending
rad_0391,[CH2]CC1=CC1=C,Pending
rad_0392,CC=C[C]1CC1,Pending
rad_0393,CC=[C]C1CC1,Pending
rad_0394,CC=CC1[CH]C1,Pending
rad_0395,C[C]=CC1CC1,Pending
rad_0396,[CH2]C=CC1CC1,Pending
rad_0397,C[C]1C=C(C)C1,Pending
rad_0398,CC1=[C]C(C)C1,Pending
rad_0399,CC1=CC(C)[CH]1,Pending
rad_0400,[CH2]C1=CC(C)C1,Pending
rad_0401,[CH2]C1C=C(C)C1,Pending
rad_0402,CC(C)=C1[C]=C1,Pending
rad_0403,[CH2]C(C)=C1C=C1,Pending
rad_0404,CC(C)=C1[CH]C1,Pending
rad_0405,[CH2]C(C)=C1CC1,Pending
rad_0406,C=CCC1[C]=C1,Pending
rad_0407,C=CC[C]1C=C1,Pending
rad_0408,C=C[CH]C1C=C1,Pending
rad_0409,C=[C]CC1C=C1,Pending
rad_0410,[CH]=CCC1C=C1,Pending
